2025/05/31 00:04:10.518, 0, NVIDIA A10, 1 MiB, 23028 MiB, 0 %, 15.98 W, 34
2025/05/31 00:04:10.548, 0, NVIDIA A10, 1 MiB, 23028 MiB, 0 %, 15.98 W, 34
2025/05/31 00:04:15.577, 0, NVIDIA A10, 1 MiB, 23028 MiB, 0 %, 15.98 W, 34
2025/05/31 00:04:20.611, 0, NVIDIA A10, 1 MiB, 23028 MiB, 0 %, 15.98 W, 34
2025/05/31 00:04:25.642, 0, NVIDIA A10, 1 MiB, 23028 MiB, 0 %, 16.02 W, 34
2025/05/31 00:04:30.674, 0, NVIDIA A10, 1317 MiB, 23028 MiB, 0 %, 57.76 W, 37
2025/05/31 00:04:35.708, 0, NVIDIA A10, 2973 MiB, 23028 MiB, 0 %, 58.36 W, 38
2025/05/31 00:04:40.740, 0, NVIDIA A10, 3981 MiB, 23028 MiB, 0 %, 58.54 W, 39
2025/05/31 00:04:45.768, 0, NVIDIA A10, 3981 MiB, 23028 MiB, 0 %, 58.58 W, 39
2025/05/31 00:04:50.799, 0, NVIDIA A10, 3981 MiB, 23028 MiB, 0 %, 58.96 W, 40
2025/05/31 00:04:55.824, 0, NVIDIA A10, 12279 MiB, 23028 MiB, 40 %, 88.36 W, 43
2025/05/31 00:05:00.856, 0, NVIDIA A10, 1 MiB, 23028 MiB, 100 %, 63.55 W, 44
2025/05/31 00:05:05.888, 0, NVIDIA A10, 1 MiB, 23028 MiB, 0 %, 41.87 W, 42
2025/05/31 00:05:10.924, 0, NVIDIA A10, 1 MiB, 23028 MiB, 0 %, 16.46 W, 40
2025/05/31 00:05:15.959, 0, NVIDIA A10, 1 MiB, 23028 MiB, 0 %, 16.41 W, 39
2025/05/31 00:05:20.997, 0, NVIDIA A10, 1 MiB, 23028 MiB, 0 %, 16.41 W, 39
2025/05/31 00:05:26.035, 0, NVIDIA A10, 1 MiB, 23028 MiB, 0 %, 16.32 W, 38
